iso,umd_tree_cover_loss__year,Forest carbon sequestration per unit area£¨Mg/ha£©,tree loss(ha),reduced carbon sequestration(Mg),Carbon sequestration per unit area of natural forests£¨Mg/ha£©,natural tree loss(ha),Reduction in carbon sequestration due to loss of natural forest trees£¨mg£©
FRA,2001,370.1692671,34420.96339,12741582.79,355.7805703,21176.29387,7534113.91
FRA,2002,379.8295849,33888.39717,12871815.83,372.1501309,25349.94175,9433984.139
FRA,2003,375.8020537,26393.33418,9918669.188,372.6017,17211.86344,6413169.577
FRA,2004,399.6125549,76134.34456,30424239.95,395.81083,58073.92814,22986289.7
FRA,2005,412.634075,46390.59105,19142338.63,404.9873275,34127.69449,13821283.79
FRA,2006,428.7528383,55049.47436,23602618.38,423.0022886,39922.72719,16887404.97
FRA,2007,446.5654488,49246.17317,21991639.42,441.3316513,36263.04428,16004029.22
FRA,2008,469.2633397,86955.39993,40804981.38,459.3493145,56821.40115,26100871.67
FRA,2009,432.7670021,67053.59918,29018585.09,428.0771319,54609.18526,23376943.4
FRA,2010,435.8199513,143265.2096,62437836.69,430.5205154,122769.734,52854889.17
FRA,2011,470.8346893,64074.31686,30168411.07,463.8401502,50290.97095,23326971.52
FRA,2012,481.4310281,67302.61843,32401568.79,474.684641,49617.75474,23552786.1
FRA,2013,481.9364529,30351.83693,14627656.63,481.2013737,23904.02521,11502649.77
FRA,2014,496.6247906,44359.06366,22029810.7,495.0316931,34319.00012,16988992.74
FRA,2015,497.2811526,37292.53033,18544872.47,493.9018314,28977.52929,14312054.79
FRA,2016,495.5279492,60768.46951,30112475.07,494.1520091,47027.03841,23238505.51
FRA,2017,500.1468145,69249.04325,34634688.39,509.2840473,50801.54389,25872415.88
FRA,2018,523.1524996,69201.43579,36202904.11,521.1689815,51418.92123,26797946.8
FRA,2019,545.279679,81304.16864,44333510.98,543.6076226,57186.28578,31086900.86
FRA,2020,569.3709819,77745.73714,44266166.7,566.1227985,56271.64146,31856659.14
